linkage positions,3 Letter Code,Enantiomer L/D,Short Name,Ring f/p,anomer a/b,,Helper Column don't save me,,,,,,Notes
"4,3",WMB,D,Man,p,b,,,,,,,,
"4,2",YMB,D,Man,p,b,,,,,,,,
4,4MB,D,Man,p,b,,,,,,,,
"3,2",ZMB,D,Man,p,b,,,,,,,,
3,3MB,D,Man,p,b,,,,,,,,
2,2MB,D,Man,p,b,,,,,,,,
1,1MB,D,Man,p,b,,,,,,,,
0,0MB,D,Man,p,b,,,,,,,,
"6,4,3,2",PNA,D,All,p,a,,,,,,,,
"6,4,3",QNA,D,All,p,a,,,,,,,,
"6,4,2",RNA,D,All,p,a,,,,,,,,
"6,4",UNA,D,All,p,a,,,,,,,,
"6,3,2",SNA,D,All,p,a,,,,,,,,
"6,3",VNA,D,All,p,a,,,,,,,,
"6,2",XNA,D,All,p,a,,,,,,,,
6,6NA,D,All,p,a,,,,,,,,
"4,3,2",TNA,D,All,p,a,,,,,,,,
